temperature,humidity,wind_speed,rainfall,visibility
23.0,100,33.1,2.09,6.0
26.0,89,3.6,0.03,10.0
24.0,57,19.1,0.0,10.0
16.0,45,13.0,0.02,10.0
23.0,69,6.8,0.02,10.0
26.0,100,20.2,2.0,8.0
25.7,60,3.6,0.02,10.0
13.8,53,13.0,0.25,9.0
39.0,19,11.2,0.0,10.0
14.0,88,4.0,0.2,10.0
16.1,58,6.8,0.0,16.0
6.0,87,9.0,0.0,10.0
22.0,73,15.1,0.01,10.0
25.0,83,13.0,0.02,10.0
26.0,84,3.6,0.05,10.0
30.0,62,6.8,0.03,10.0
25.7,27,12.6,0.01,10.0
21.8,46,14.4,0.0,10.0
20.2,37,9.7,0.0,10.0
22.0,41,7.2,0.03,10.0
29.0,45,6.8,0.0,10.0
25.0,39,28.1,0.0,10.0
6.3,76,10.1,0.22,10.0
32.0,63,25.9,0.0,10.0
29.0,75,15.1,0.02,10.0
11.0,76,11.2,0.0,10.0
15.0,77,4.0,0.2,10.0
5.0,100,3.6,0.0,10.0
17.0,72,25.9,0.0,10.0
17.0,59,19.1,0.0,10.0
29.0,79,25.9,0.0,10.0
36.0,42,16.9,0.0,10.0
34.2,41,12.6,0.0,10.0
30.0,75,31.0,0.02,10.0
17.0,34,6.8,0.0,10.0
17.0,77,19.1,0.04,10.0
30.0,79,13.0,0.0,9.0
24.0,89,28.1,0.05,8.0
10.5,90,5.8,0.17,9.0
18.8,37,5.0,0.0,10.0
20.0,83,3.6,0.02,10.0
29.0,19,11.2,0.0,10.0
31.4,61,6.5,0.0,10.0
27.0,100,11.2,3.01,7.0
11.0,82,31.0,0.15,9.0
24.0,94,16.9,0.23,10.0
31.0,55,33.1,0.34,10.0
27.8,48,18.4,0.0,10.0
26.0,58,31.0,0.0,10.0
30.0,75,15.1,0.0,10.0
32.0,56,6.8,0.22,8.0
16.0,63,11.2,0.0,24.0
35.0,53,3.6,0.0,10.0
42.0,25,11.2,0.0,8.0
2.0,87,6.8,0.0,6.0
23.0,47,6.8,0.0,10.0
19.4,61,19.8,0.0,10.0
25.8,79,28.1,0.04,10.0
32.0,56,25.9,0.0,8.0
23.0,89,9.0,0.02,10.0
20.0,68,15.1,0.68,10.0
29.0,75,16.9,0.0,9.0
26.0,54,25.9,0.0,10.0
19.0,49,41.0,0.02,10.0
32.0,56,25.9,0.0,8.0
18.0,42,34.9,0.0,10.0
35.0,53,19.1,0.0,10.0
30.0,79,19.1,0.04,10.0
28.0,84,11.2,0.03,10.0
16.2,66,3.6,0.0,10.0
32.0,23,37.1,0.0,10.0
26.0,89,6.8,0.33,10.0
32.0,80,15.1,0.03,10.0
22.2,52,10.8,0.67,10.0
20.0,37,29.9,0.0,10.0
22.5,38,7.6,0.0,10.0
26.0,39,11.2,0.0,10.0
24.0,100,3.6,0.4,10.0
26.0,30,24.1,0.0,10.0
18.0,52,11.2,0.04,10.0
31.0,71,13.0,1.17,10.0
30.0,52,13.0,0.0,10.0
13.0,88,9.0,0.0,10.0
24.0,31,38.9,0.0,10.0
31.0,71,16.9,0.0,10.0
21.0,43,19.1,0.0,10.0
31.0,66,24.1,0.03,10.0
21.0,83,3.6,0.27,10.0
31.0,71,11.2,0.05,10.0
34.0,44,9.0,0.0,9.0
29.0,84,3.6,0.03,10.0
30.0,61,6.8,0.03,8.0
22.0,69,20.2,0.0,10.0
25.0,69,4.0,0.01,10.0
22.0,38,31.0,0.0,10.0
9.0,66,19.1,0.09,10.0
38.0,23,11.2,0.0,3.5
29.0,84,15.1,2.05,5.0
26.0,17,25.9,0.0,10.0
35.0,16,19.1,0.0,10.0
19.0,64,15.1,0.0,10.0
25.0,51,22.0,0.0,10.0
22.0,69,20.2,0.0,10.0
31.0,66,19.1,0.0,10.0
18.3,44,19.1,0.0,16.0
25.0,21,22.0,0.0,7.0
15.0,41,19.1,0.0,10.0
25.0,54,11.2,0.95,10.0
28.8,77,17.3,0.01,10.0
29.0,51,22.0,0.0,16.0
15.3,97,13.3,1.23,9.0
20.7,95,4.3,0.25,9.0
21.0,40,6.1,0.0,10.0
23.0,61,6.8,0.0,10.0
23.4,24,18.4,0.0,10.0
31.0,75,9.0,0.0,10.0
27.0,89,3.6,0.16,10.0
19.0,60,13.0,0.92,10.0
18.0,34,13.0,0.01,10.0
17.0,63,16.9,0.03,10.0
19.0,64,19.1,0.0,10.0
24.0,47,15.1,0.0,10.0
25.0,100,3.6,0.02,6.0
29.6,77,22.3,0.0,10.0
31.0,55,20.2,0.01,10.0
26.0,61,11.2,0.0,9.0
28.0,84,16.9,1.61,24.0
22.7,65,25.9,0.0,10.0
24.0,74,22.0,0.01,10.0
13.0,67,6.8,0.0,8.0
25.0,94,4.0,0.36,24.0
17.2,44,18.4,0.0,10.0
20.0,73,29.9,0.4,10.0
16.0,36,11.2,0.0,10.0
24.0,57,3.6,0.0,10.0
20.0,53,19.1,0.0,7.0
26.0,61,15.1,0.0,10.0
30.3,71,14.4,0.0,10.0
24.0,24,20.2,0.0,10.0
21.0,46,11.2,0.0,10.0
25.0,57,9.0,0.0,8.0
20.0,68,20.2,2.42,10.0
12.0,67,24.1,0.0,10.0
28.0,84,6.8,0.0,9.0
40.0,23,29.9,0.0,7.0
35.2,43,10.1,0.0,10.0
11.6,46,6.1,0.0,10.0
14.0,94,9.0,0.0,10.0
18.0,42,46.1,0.0,10.0
33.0,59,9.0,0.0,10.0
33.0,22,11.5,0.0,10.0
27.0,89,3.6,0.01,23.0
26.0,55,3.6,0.0,10.0
28.0,84,9.0,0.33,8.0
24.0,100,3.6,0.08,10.0
24.5,50,26.3,0.0,10.0
19.0,81,7.2,0.0,10.0
31.0,71,13.0,0.49,10.0
21.0,28,31.0,0.0,10.0
19.0,60,20.2,0.0,10.0
35.0,35,19.1,0.0,10.0
20.0,32,19.1,0.0,10.0
20.0,37,15.1,0.01,10.0
28.0,42,11.2,0.22,10.0
30.0,75,15.1,0.0,10.0
30.0,70,20.2,0.01,10.0
30.0,75,33.1,0.0,10.0
27.0,89,13.0,0.44,9.0
20.0,88,22.0,0.66,8.0
14.0,94,13.0,0.1,5.0
41.0,7,15.1,0.0,10.0
26.0,70,15.1,0.0,10.0
20.0,56,42.8,0.08,10.0
28.0,84,11.2,1.99,10.0
29.0,79,16.9,0.01,10.0
27.0,94,3.6,0.0,10.0
17.0,72,25.9,0.01,10.0
17.0,72,22.0,0.64,10.0
25.8,89,14.0,0.14,10.0
30.0,75,28.1,0.21,10.0
26.0,23,6.8,0.0,10.0
13.0,88,6.8,0.0,10.0
37.5,7,23.4,0.0,10.0
18.0,39,24.1,0.0,10.0
26.0,94,6.1,0.05,9.0
38.4,6,12.2,0.0,10.0
31.0,75,9.0,0.01,10.0
22.0,35,19.1,0.0,10.0
12.0,100,11.2,0.41,10.0
29.0,14,22.0,0.0,10.0
26.0,54,15.1,0.01,10.0
28.0,45,11.2,0.0,10.0
30.0,79,11.2,0.0,10.0
25.8,79,10.1,0.01,10.0
19.0,40,20.2,0.0,10.0
